Domain (FROM),Connection TO,Original Text,Proposed website text,Comments
LS Mobility,LS Peace and Justice,"More people visible within the community could lead to increased feelings of safety and lower levels of crime.
Increased AT may lead to higher demand for improved lighting, making routes safer, and enabling more AT.
Some AT infrastructure might provide spaces that would be used for antisocial behaviour e.g. benches.","Travel infrastructure designed with safety and inclusivity in mind e.g. well-lit paths, could lead to reduced crime, supporting peace and justice.  ",
LS Mobility,LS Food,"Increased AT and more AT within 20 minute neighbourhoods could lead to:
increased demand for local food outlets
more quality food available locally
more frequent, smaller shopping trips
reduced food waste
fewer food deserts ","Better connected networks and neighbourhoods through active travel routes can provide more local opportunities to access goods such as nutritious food, and increase the demand for local food outlets. ",
LS Mobility,LE Harvest Energy,"Energy: Could active travel practices generate energy? E.g. walking, cycling, travelling over bridges (links to WP5)

Possibility to harness kinetic energy through novel active travel interventions e.g. from bridge vibrations? (piezoelectric energy harvesters)", There is the potential to harvest kinetic energy from active travel.,
LS Mobility,LE Cleanse the Air,"Reduced use of carbonised transport and private cars will improve air quality
Reduced particulate matter from vehicle emissions.
Reduced CO2, CO, NO2, benzene, formaldehyde and others from vehicle emissions.
Reduced air pollutants from lower levels of manufacturing vehicles.

To consider: noise pollution separately from air pollution.",Reducing carbonised transport methods will reduce emissions and improve air quality.,
LS Mobility,LE House Biodiversity,"High quality urban design could introduce biodiversity as part of/alongside travel routes e.g. greening tram tracks, hedgerows along cycle/walking paths, biodiverse 'planters' that are also bike storage.

Prioritising biodiversity in urban design rather than roads should reduce number of road kills

Lower emissions from vehicles will be beneficial for biodiversity and habitats","Biodiversity could be increased by designing new and regenerated travel routes to support wildlife, for example, greening tram tracks or adding hedgerows along cycling or walking paths.",
LS Mobility,GE Ozone Layer Depletion,?? Possibility of generating fewer Ozone depleting chemicals due to reduced use of polluting vehicles (not sure vehicle emissions are specifically bad for ozone?),,"?leave out, not a clear link?"
LS Mobility,GE Air Pollution,"Decarbonised public transport will improve air quality in the city and reduce illness/death associated with air pollution

BUT pollution during manufacturing processes (e.g. of EVs) could increase",Greener transport methods and increased active travel can reduce global air pollution through a reduction in transport and car manufacturing emissions. ,
LS Mobility,GE Climate Change,"More active travel will lead to reduced levels of CO2, CO, NO2, Benzene and others.
Reduced manufacturing of cars, leading to lower consumption of materials, and fewer gases produced during manufacturing of vehicles that contribute to climate change.",Greener transport methods and increased active travel can reduce climate change through a reduction in transport and car manufacturing emissions. ,
LS Mobility,GE Land Conversion,"Demand for transition materials could lead to new land conversion/mining etc.

Locally, WP5: Land Conversion (and biodiversity loss): could design Active Travel infrastructure in ways that repair and restore converted/damaged land (with WP3)
WP4: Reduced car use = less need for roads. Less land is required for active travel infrastructure compared to roads, and the process of installing AT infrastructure is less invasive.",The demand for new materials to support the transition to electric transport may cause land conversion globally.,
LS Mobility,GE Chemical Pollution,"Potential harmful pollution from increased use/discarding of batteries (e.g. for EVs)
OR
Lower levels of production of car batteries and heavy metals will mean less chemical waste to be disposed of.
(depending on whether active travel becomes dominant, or electrified transport?)

Reduced disposal of used oil will lead to lower levels of chemical pollution.

Reduced demand for raw materials. ",The transition to electric transport may increase chemical pollution from the increased use and poor disposal of batteries. Increased active travel over car use may reduce the demand for batteries and heavy metals that could cause chemical pollution.,
LS Mobility,GS Health,"Global extraction of materials/metals needed to decarbonise transport sector could have health harms e.g. unsafe mining

Reduced pollutants from fossil fuel vehicles will improve air quality, reducing Glasgow's contribution to health risks and deaths from air pollution",The demand for materials to support the transition to electric transport may cause health harm through working conditions in industries such as mining.,
LS Mobility,GS Income and Work,Jobs in mineral/metal/material extraction could be unsafe/exploitative,The demand for materials to support the transition to electric transport may cause harm through poor working conditions in industries such as mining.,
LS Housing,LS Income and Work,Residents could be left with more of their incomes if new housing stock is affordable,Creating more affordable new housing will increase the amount of income people have available to spend on other things. ,
LS Housing,LS Health,Opportunities for 'health net gain' in new developments (ref Caglar's paper),Higher quality and warm housing supports good health.,
LS Housing,LS Community,Improved community networks if housing is build where it is most needed,Community networks can be improved if housing is built where it is most needed.,
LS Housing,LS Energy,,"Well-insulated, energy efficient housing will minimise domestic energy use for heating.",
LS Housing,LS Mobility,"Housing will require improved storage for bikes and other Active Travel equipment/materials.
Existing housing stock will need to be adapted to ensure adequate provision.
Could increase connectivity between houses through AT infrastructure, leading to further increases in AT.",To encourage active travel housing could be adapted to include improved storage for bikes and other active travel equipment.,
LS Housing,LE Harvest Energy,New build design could include solar panels etc.,New housing developments could include solar panels to harvest energy.,
LS Housing,LE Cleanse the Air,Construction process could lead to pollutants being released in the air,Construction of new housing developments should be planned to minimise the amount of pollutants being released into the air.,
LS Housing,LE Enhance Wellbeing,"New housing sites could lead to loss of valuable greenspace, with its wellbeing benefits","New housing developments could lead to the loss of green space, and the wellbeing benefits these spaces bring.",
LS Housing,LE Cycle Water,Could impact ability of built-on areas to cycle water,Plans for new housing sites need to consider how they can support urban spaces to cycle water.,
LS Housing,LE Build and Protect Soil,Could deplete soil nutrients,New housing sites could deplete soil nutrients.,
LS Housing,LE House Biodiversity,Ensure Biodiversity Net Gain (BNG) on any new development (Scottish equivalent),New housing developments should be designed to support biodiversity net gain. There is a risk of loss of biodiversity if housing sites are built on biodiverse land.,
LS Housing,GE Biodiversity Loss,Risk of unsustainable land conversion if housing is built on untouched or biodiverse land,There is a risk of loss of biodiversity if housing sites are built on biodiverse land.,
LS Housing,GE Air Pollution,Construction process could lead to pollutants in the air,Construction of new housing developments should be planned to minimise the amount of pollutants being released into the air.,
LS Housing,GE Ocean Acidification,Construction sector highly responsible for emissions that cause ocean acidification,"Reducing or replacing fossil-fuel powered heating in homes will reduce the ocean acidification caused by greenhouse gas emissions. However, the construction sector is a large contributor to these emissions, which must be accounted for when planning new build/retrofitting housing. ",
LS Housing,GE Climate Change,Construction sector highly responsible for emissions that cause climate change,"Reducing or replacing fossil-fuel powered heating in homes will reduce the climate change caused by greenhouse gas emissions. However, the construction sector is a large contributor to these emissions, which must be accounted for when planning new build/retrofitting housing. ",
LS Housing,GE Land Conversion,Risk of unsustainable land conversion if housing is built on untouched or biodiverse land,New housing developments risk unsustainable land conversion.,
LS Housing,LS Income and Work,"Better insulation leads to more efficient use of heating, likely reducing energy bills",,Included in energy above
LS Housing,LS Energy,energy efficiency of housing impacts the amount of energy needed,,See above
LS Housing,LS Health,"Warmer homes will result in fewer health conditions directly caused by cold, damp and mouldy housing

Reduced costs will minimise stress and mental health issues exacerbated by unaffordable bills",,See above - link to mental health via income and work
LS Housing,LS Social Equity,Targeted retrofit (modernising the houses that need it most) could reduce housing and health related inequalities,Targeted retrofit of the houses that need this most could increase social equity.,
LS Housing,LS Mobility,"Housing will require improved storage for bikes and other Active Travel equipment/materials.
Existing housing stock will need to be adapted to ensure adequate provision.
Could increase connectivity between houses through AT infrastructure, leading to further increases in AT.",,See above
LS Housing,LE Harvest Energy,Retrofit design could include solar panels etc.,,See above
LS Housing,LE Cleanse the Air,Reduction in need for dirty energy could lead to fewer pollutants being released in the air,,See above
LS Housing,GE Air Pollution,Reduction in need for dirty energy could lead to fewer pollutants being released in the air,,See above
LS Housing,GE Climate Change,"Better insulation leads to more efficient (therefore reduced) use of heating and fuel, reducing the need for the fossil fuel energy, that drives climate change",,See above
LS Culture,LS Income and Work,Cultural industries can support long-term job creation in rewarding and socially valuable sectors,"Cultural industries can support long-term job creation in rewarding and socially valuable sectors, supporting income and work.",
LS Culture,LS Health,,Cultural activities are important for wellbeing and can support good mental health. ,
LS Culture,LS Equality in Diversity,"Cultural events can promote diversity and inclusion, using creative and innovative methods to amplify marginalised voices ","Cultural events can promote equality in diversity and inclusion, using creative and innovative methods to amplify marginalised voices. ",
LS Culture,LS Political Voice,"Can bring citizens into just transition process and amplify their voices (democratic voice)

Spaces for different voices to be heard are created and protected, using different methods of engagement e.g. cultural institutions, schools, youth groups",Artists and cultural practitioners can take an active creative role in involving local citizens in the process of sustainable transition and enhancing citizens’ political voice. ,
LS Culture,LS Community,"Artists and practitioners can take an active creative role in community engagement, outreach, and participation, building community and solidarity, involving local citizens in the process of change (a sustainable transition)","Artists and cultural practitioners can take an active creative role in community engagement, outreach, and participation, building solidarity and involving local citizens in the process of sustainable transition. ",
LS Culture,LS Education,"Cultural sector/practitioners are trusted partners in schools, can influence on sustainability through these networks

Can offer creative solutions to messaging and comms challenges",Artists and cultural practitioners can support the education system in developing culturally engaged and socially responsible young people.,
LS Culture,LS Mobility,,"The cultural sector may be able to leverage its influence to decarbonise the industry or change the ways cultural consumers travel to events, boosting methods of greener transport and sustainable mobility. ",
LS Culture,GE Air Pollution,"Cultural and tourist attractions that promote/invite travel could increase non-sustainable forms of transport e.g. flying
BUT
Cultural sector could perhaps leverage/influence change in the way cultural consumers travel to events and performances etc. to reduce use of polluting transport","Cultural events and attractions that bring many visitors to the city may contribute to  impacts such as air pollution, but the cultural sector may be able to leverage its influence to decarbonise the industry or change the ways cultural consumers travel to events. ",
LS Culture,GE Climate Change,Cultural sector can have a direct influence on decarbonisation through the tourism/travel/buildings associated with e.g. the music industry,"Cultural events and attractions that bring many visitors to the city may contribute to  impacts such as climate change, but the cultural sector may be able to leverage its influence to decarbonise the industry or change the ways cultural consumers travel to events.",
LS Education,LS Income and Work,"Setting up Glaswegians for fulfilling future jobs in sustainable industries, and supplying a wellbeing economy with a suitable workforce (child and adult education)",A well-planned and well-resourced education sector can support income and work through a sustainable pipeline into decent employment. ,
LS Education,LS Social Equity,"Decent, universal education for all can create shared opportunities and reduce social inequalities. Education is powerful tool for reducing economic and gender inequalities (is evidence for this more relevant for Global South?)",Decent universal education can create shared opportunities and reduce social inequalities. ,
LS Education,LS Equality in Diversity,Education is powerful tool for reducing economic and gender inequalities (is evidence for this more relevant for Global South?),Education can be powerful tool for reducing economic and gender inequalities.,
LS Education,LS Food,"School meals, school kitchens, teaching about food, can all be focussed on providing nutritious and low-carbon diets.

School meals for all ensure no child is too hungry to learn.",Schools meals can be used to provide and teach children about nutritious and low-carbon food.,
LS Education,LE Harvest Energy,Solar panels on school roofs etc.,School buildings can be good locations for solar panels to harvest energy. ,
LS Education,LE House Biodiversity,"Use education including outdoor learning to create local, engaged citizens who are involved in projects and activities that benefit the local environment e.g. rewilding, tree-planting","Education and outdoor learning can create local, engaged citizens who are involved in projects and activities that benefit the local environment e.g. rewilding, tree-planting, leading to greater biodiversity.",
LS Education,GE Biodiversity Loss,"More sustainable/diverse diets in schools could protect biodiversity (by preventing deforestation, overfishing etc.)",,leave out - more of a link via food that is already included.
LS Education,GS Education,"Networks, opening up universities to global students, sharing knowledge etc. can benefit educational opportunities for citizens worldwide",Developing global networks and opening up universities to global students can provide educational opportunities for students worldwide.,
LS Income and Work,LS Energy,Need income for energy,"Sufficient income allows citizens to afford essential goods and services such  energy.
",
LS Income and Work,LS Health,Good jobs are essential for good health,Decent work and sufficient income is essential for good health and wellbeing. ,
LS Income and Work,LS Social Equity,fair access to employment opportunities needed for all,"Accessible, inclusive work opportunities can support social equity.",
LS Income and Work,LS Culture,Cultural industries are potentially a good sustainable sector for job growth,Sustainable job growth in the culture industry can benefit both work and the environment. ,
LS Income and Work,LS Equality in Diversity,inclusive employment practices and opportunities can support this,"Accessible, inclusive work opportunities can support equality in diversity.",
LS Income and Work,LS Education,mutual relationship/synergy between education system and employment ,,"Leave out, as opposite direction: education leads to work?"
LS Income and Work,LS Water,need income to afford basic utilities,"Sufficient income allows citizens to afford essential goods and services such  water.
",
LS Income and Work,LS Food,need income to afford basic utilities,"Sufficient income allows citizens to afford essential goods and services such  food.
",
LS Income and Work,LS Housing,need income to afford housing,"Sufficient income allows citizens to afford essential goods and services such  housing.
",
LS Income and Work,LS Mobility,green public transport sector could create green jobs,,Sustainable job growth in the green transport sector can provide new work opportunities and also support the environment. ?leave out - link is to income and work not from?
LS Income and Work,LS Community,,Alternative business models such as social enterprises and cooperatives may foster a sense of community. ,
LS Income and Work,GE Air Pollution,many employment industries harmful for air pollution (e.g. through polluting travel/transport/tourism or mass production and consumption of short-life goods),A move away from work in consumption-based industries towards more sustainable industries will reduce emissions that cause air pollution.,
LS Income and Work,GE Ocean Acidification,overconsumption harmful here,A move away from work in consumption-based industries towards more sustainable industries will reduce green house gases emissions that cause ocean acidification.,
LS Income and Work,GE Climate Change,overconsumption harmful here,A move away from work in consumption-based industries towards more sustainable industries will reduce green house gases emissions that cause climate change.,
LS Income and Work,GE Land Conversion,overconsumption harmful here,A move away from work in consumption-based industries towards more sustainable or circular industries will reduce land conversion to extract raw materials.,
LS Income and Work,GE Chemical Pollution,waste from fast fashion etc. and other overconsumption patterns causes chemical and material pollution - often exported to other countries,A move away from work in consumption-based industries towards more sustainable or circular industries will reduce chemical pollution.,
LS Income and Work,GS Health,health of global workers in supply chains may be threatened by some of the working conditions e.g. in food or minerals that supply Glasgow,,? Leave out as indirect via GS work?
LS Income and Work,GS Income and Work,"poor working conditions for global workers likely in supply chains that feed Glasgow (e.g. forced labour, exploitation)",Glasgow industries can influence the working conditions of people worldwide by choosing responsible global supply chains.,
LS Income and Work,GS Social Equity,overconsumption in Glasgow is bad for global equity/justice,,?
LS Community,LS Health,"A strong sense of community and belonging, built through engagement (perhaps with family, friends, or volunteering) can combat loneliness and is good for health and wellbeing",A strong sense of community and belonging can combat loneliness and is good for health and wellbeing.,
LS Community,LS Political Voice,Cogoverning' communities (so mutual stewardship of the commons/volunteering in mutual benefit initiatives etc.) have enhanced democratic voice,Communities that ‘cogovern’ spaces and services for mutual benefit may also have an enhanced democratic and political voice.  ,
LS Energy,LS Income and Work,Can bring more green jobs and generate surplus incomes for communities (to then be further reinvested in local priorities),Creating renewable energy infrastructure locally may support income and work through sustainable job creation.,
LS Energy,LS Health,Improved provision of affordable renewable energy could improve thermal comfort for fuel-poor households and reduce associated ill-health,Affordable energy for all Glaswegians will reduce fuel poverty and  the health harms that come from living in cold and damp homes (e.g. respiratory conditions).  ,
LS Energy,LS Social Equity,"Can be more 'fair' and 'just' but not necessarily by default - there is a need to identify and prioritise capacity support for low-income, disadvantaged, or marginalised communities. With the right support, these initiatives could have a positive impact on social equity.",Affordable energy for all Glaswegians will reduce fuel poverty and improve social equity.,
LS Energy,LS Equality in Diversity,Opportunity to recruit/train more women and girls in the energy/tech sector,"The energy sector could provide opportunities to support equality in diversity, for example by recruiting more women and girls who are typically underrepresented in this sector. ",
LS Energy,LS Political Voice,"Increased stake in local services can be good for democracy and engagement/participation. Also community oversight of surplus funds to determine investments in line with local priorities = more democratic

More 'locally' owned energy (at all scales) reduces national dependence on external energy sources and strengthens political voice",Community owned and managed renewable energy projects may benefit political voice as citizens increase their democratic oversight and engagement.,
LS Energy,LS Community,"Can bring community together around a common interest, working towards a common goal.",Locally managed renewable energy project can engage communities and bring them together.,
LS Energy,LS Education,Opportunities to educate and upskill local populations in training for long-term sustainable jobs and community stewardship,Creating renewable energy infrastructure locally may provide valuable education and training for the green energy sector. ,
LS Energy,LS Connectivity,Decarbonising energy could make use/consumption of the internet more sustainable (but still issues with minerals etc),,?
LS Energy,LE Harvest Energy,More green energy initiatives = more opportunity and capacity to harvest renewable energy,,? Leave out - connection in opposite direction?
LS Energy,GE Air Pollution,Reduced burning of fossil fuels will improve global air quality,Decarbonisation of the energy sector will reduce air pollution associated with burning fossil fuels.,
LS Energy,GE Ocean Acidification,"Reduced burning of fossil fuels will lower CO2 emissions, reducing the contribution to ocean acidification",Decarbonisation of the energy sector will reduce greenhouse gas emissions and help to reduce ocean acidification.,
LS Energy,GE Climate Change,"Reduced burning of fossil fuels will lower CO2 emissions, reducing the contribution to climate change",Decarbonisation of the energy sector will reduce greenhouse gas emissions and help to reduce climate change.,
LS Energy,GE Chemical Pollution,increased demand for transition materials could have harmful material footprint,Demand for materials for development of renewable energy infrastructure (e.g. batteries) may increase chemical pollution.,
LS Energy,GS Peace and Justice,"Reducing climate change could reduce associated risks to safety and security for global populations, for example creating fewer climate refugees

Reduced reliance (and therefore tacit support of) dictators and autocrats supplying our oil and gas",More locally (or nationally) owned energy reduces dependence on external energy sources (e.g. from authoritarian regimes) supporting global peace and justice. ,
LS Energy,GS Health,Reducing climate change could reduce associated health harms e.g. heat-related deaths,,Leave out - connection via climate change
LS Energy,GS Income and Work,Jobs in materials needed for transition (e.g. solar PV global supply chains) could be unsafe/exploitative??,"Demand for materials for development of renewable energy infrastructure could create global income and work, but there is a risk of these being unsafe or exploitative roles.",
LS Energy,GS Social Equity,Global knowledge exchange,,?
LS Energy,GS Education,Global knowledge exchange,,?
LS Social Equity,LS Income and Work,Fewer/no citizens subsisting below the poverty line,Increased social equity may lead to improved and fairer outcomes for income and work. ,
LS Social Equity,LS Health,Lower social inequalities = lower health inequalities,Increased social equity may lead to improved and fairer outcomes for health. ,
LS Social Equity,LS Education,,Increased social equity may lead to improved and fairer outcomes for education. ,
LS Social Equity,LS Political Voice,Higher levels of equity/small inequalities result in higher levels of political engagement? (Segregation/isolation of poorer groups leads to lower levels of political participation among those groups),Increased social equity may result in better levels of democratic engagement and political voice. ,
LS Social Equity,LS Community,,Increased social equity may result in a better sense of community. ,
LS Social Equity,GE Climate Change,Inequality fuels climate change and climate change fuels inequality (reinforcing feedback loop) - this could be broken/reversed to become virtuous?,Inequality is known to drive and exacerbate climate change. Reversing this negative feedback loop could lead to mutual benefit for both social equity and climate outcomes. ,
LS Food,LS Income and Work,"Cost of food makes it a significant household bill.
More sustainable options are often more expensive.",,Leave out - this is a connection in opposite direction? I.e. income dictates food choices.
LS Food,LS Energy,Some food waste/biomass could be used in local/community clean energy production,Food waste/biomass could be used for local clean energy production.,
LS Food,LS Health,"Diet and nutrition have huge impact on health - currently big gaps in fruit and veg consumption etc. Good diets for all could reduce certain health problems including diabetes, CVD, obesity, tooth decay etc.","People's food choices have a huge impact on health, with nutritious, balanced diets helping to prevent diseases such as diabetes, stroke, and heart disease. ",
LS Food,LS Community,"Food growing initiatives, shared pantries, community kitchens etc. can strengthen community links","Initiatives such as local food growing, shared allotments, and community kitchens/pantries can bring people together and strengthen community ties. ",
LS Food,LS Social Equity,,Making healthy and sustainable food options affordable will support social equity by ensuring equal access opportunities.,
LS Food,LE House Biodiversity,"Allotments - small food growing could increase biodiversity

more biodiversity leads to more pollinators which are essential for food security - the benefits of this could also spill over into rural areas",Local food growing such as allotments can help increase biodiversity.,
LS Food,GE Biodiversity Loss,"More sustainable/diverse diets could protect biodiversity (by preventing deforestation, overfishing etc.)","More sustainable and diverse diets can help protect biodiversity (e.g. by not overfishing, preventing deforestation).",
LS Food,GE Climate Change,"More sustainable diets (e.g. more plant-based, reduced beef) reduce the contribution to climate change associated with current consumption",Eating diets that cause lower carbon emissions (e.g. more plant-based diets) can help reduce climate change.,
LS Food,GE Land Conversion,Plant-based diets require smaller amounts of land than those associated with animal/animal-product consumption,"Food production for plant-based diets is less intensive in terms of land usage, helping to prevent land conversion.",
LS Food,GE Fresh Water Withdrawal,"Plant-based diets require smaller amounts of water than those associated with animal/animal-product consumption
DEPENDING on the type of plant consumed (e.g. avocados need a lot of water?)","Food production for plant-based diets uses less water than meat production, helping to prevent freshwater withdrawals.",
LS Food,GS Food,"Not all plant-based foods are sustainable/ethical e.g. avocados, quinoa. Risk of Glasgow undermining food security elsewhere if changes to diets are not properly understood.","Changes to diets need to be properly understood to avoid undermining food security elsewhere through unsustainable food choices (e.g. avocados, quinoa are not sustainable food sources).",
LS Food,GS Income and Work,Need to consider working conditions and pay of those producing the food worldwide (farming/picking/packing) that feeds Glasgow,Glasgow's food imports need to consider the conditions (income and work) of people working in the global supply chains. ,
LS Water,LS Income and Work,Water bills?,,? Leave out?
LS Water,LE Store Carbon,"Adequate water reserves will support healthy plant growth, allowing more vegetation to store carbon","Adequate water reserves support nature, allowing plants to grow which then store carbon.",
LS Water,GE Fresh Water Withdrawal,Prevent too much fresh water withdrawal by conserving and reusing water where possible ,"Being more careful with water usage will improve water resilience, lessening the impact on freshwater withdrawal.",
LS Water,GE Chemical Pollution,Caution required if using grey water e.g. in gardens or agriculture - some risk of chemicals present in reused water sources,Responsible re-use of grey water in gardens or agriculture can reduce the risk of chemical pollution from reused water sources.,
LS Water,GS Water,Preventing over use of fresh water is part of global water justice approach/human rights approach to water - not using more than our fair share,"Preventing over use of fresh water locally is part of global human rights approach to water, by not using more than our fair share.",
LS Political Voice,LS Community,Citizens assemblies for more community engagement,Use of citizens' assemblies can encourage more community engagement.,
LS Political Voice,LS Equality in Diversity,,Inclusive processes of democracy could support equality in diversity.,
LS Peace and Justice,LS Equality in Diversity,A safer city with reduced violent crime may make women and girls or other marginalised groups feel more confident to participate in activities e.g. outdoor exercise,"A safer city with reduced violent crime may make women and girls or other marginalised groups feel more confident to participate activities, increasing equality in diversity. ",
LS Peace and Justice,LS Political Voice,A fair justice system that citizens have faith in is good for democracy and community,A fair justice system that citizens have faith in is good for democracy and supports political voice. ,
LS Peace and Justice,LS Community,A fair justice system that citizens have faith in is good for democracy and community,A fair justice system that citizens have faith in is good for community. ,
LS Peace and Justice,LS Mobility,Reduced rates of crime/threat of violence may make it feel safer or more appealing to use active travel,Reduced crime rates may make it feel safer to use active travel.,
LS Equality in Diversity,LS Political Voice,"All voices heard, including young voices, older voices, and Black and minority ethnic community voices - particularly outwith recognised 'diverse' areas",If all voices in society are properly heard and equally represented this may benefit political voice. ,
LS Equality in Diversity,LS Community,"All voices heard, including young voices, older voices, and Black and minority ethnic community voices - particularly outwith recognised 'diverse' areas",If all voices in society are properly heard and equally represented this may benefit community kinship. ,
LS Connectivity,LS Energy,Uses a lot of energy,"Widespread, near-constant use of the internet and processing of data uses a lot of energy.",
LS Connectivity,LS Income and Work,,"Universal access to fast, affordable internet may offer fairer access to employment (income and work) opportunities.",
LS Connectivity,LS Education,,"Universal access to fast, affordable internet may offer fairer access to education opportunities.",
LS Health,LS Income and Work,"Healthier populations are more likely to be in work, fewer people unemployed on long-term sick leave",Healthier Glaswegians will be better equipped to take up income and work opportunities.,
LS Health,LS Social Equity,,Smaller inequalities in health will improve social equity,
LS Health,LS Mobility,,"Having good physical health is an enabling factor for taking up active travel, thereby increasing mobility.",
LS Health,LS Community,,Having good physical health is an enabling factor for involvement in community activities and networks. ,
GE Climate Change,LS Food,"Climate change contributes to food insecurity, so interventions which reduce CC as an outcome may improve equitable access to food","Climate change contributes to food insecurity, so interventions which reduce climate change may improve equitable access to food.",
GE Climate Change,LE Store Carbon,"Transformed VDL sites are designed to store carbon, preventing CO2 from entering the atmosphere",,Leave out - direction is opposite effect
GE Climate Change,LE Cleanse the Air,Carbon Capture and Storage on previous VDL sites could improve local air quality (if sites are 'greened'),,Leave out - direction is opposite effect
GE Climate Change,LE Build and Protect Soil,Regenerating polluted VDL sites e.g. for biodiversity or urban food growing could replenish soil nutrients,,Leave out - direction is opposite effect
GE Climate Change,LE House Biodiversity,Reduced climate change could prevent attraction of invasive species - favoured by warming climate - more urban invasive species could spread to countryside and displace native species,Reducing climate change could prevent attraction of invasive species that favour a warmer climate. ,
GE Climate Change,GE Ocean Acidification,Reduced CO2 emissions from decarbonised sectors (e.g. transport and building) lessens impact on ocean acidification,Actions to reduce climate change by reducing carbon dioxide emissions will also reduce ocean acidification.,
GE Climate Change,GS Peace and Justice,"Reduced climate change will create fewer climate refugees, leaving more global citizens to live in peace and safety","Reducing climate change will create fewer climate refugees, leaving more global citizens to live in peace and safety.",
GE Climate Change,GS Food,"Climate change contributes to food insecurity, so interventions which reduce CC as an outcome may improve equitable access to food","Climate change contributes to food insecurity, so interventions which reduce climate change may improve equitable access to food.",
GE Air Pollution,LE House Biodiversity,Reduced Air Pollution will have positive impact on species abundance,Reducing air pollution will have positive impact on species abundance and biodiversity.,
GE Air Pollution,GE Biodiversity Loss,Reduced Air Pollution will have positive impact on species abundance,Reducing air pollution will have positive impact on species abundance and biodiversity.,
"GE Excessive Fertilizer use
",LS Income and Work,"If food supplies become scarce (consequence of nutrient runoff), they will become more expensive - action is therefore needed/desirable to prevent both",,leave out - indirect link via food
"GE Excessive Fertilizer use
",LS Water,"More biodiversity could protect local water supplies, meaning less of an impact during droughts etc. (e.g. hosepipe bans)",,leave out - no mention of fertilizer use
"GE Excessive Fertilizer use
",LS Food,Nutrient runoff from excessive fertiliser use threatens food stability and global food supply chains (including those that feed Glasgow),"Reducing nutrient runoff from excessive fertiliser use will improve food security, including supply chains that feed Glasgow. ",
"GE Excessive Fertilizer use
",LE Cycle Water,Cycling water will be more feasible without needing to contend with algal blooms etc. (from fertilizer runoff),Reducing nutrient runoff from excessive fertilizer use will make cycling water more feasible without needing to contend with algal blooms etc. ,
"GE Excessive Fertilizer use
",LE House Biodiversity,"Nutrient runoff kills biodiversity e.g. through decreased plant diversity, algal blooms. Reduced runoff will improve biodiversity.","Reducing nutrient runoff from excessive fertilizer use will improve biodiversity, e.g. by reducing algal blooms and species loss etc.",
"GE Excessive Fertilizer use
",GE Biodiversity Loss,"Nutrient runoff kills biodiversity e.g. through decreased plant diversity, algal blooms. Reduced runoff will improve biodiversity.","Reducing nutrient runoff from excessive fertilizer use will improve biodiversity, e.g. by reducing algal blooms and species loss etc.",
"GE Excessive Fertilizer use
",GE Fresh Water Withdrawal,More biodiversity could protect water reserves,,leave out - indirect link via biodiversity
"GE Excessive Fertilizer use
",GS Food,"Although fertilizer use in short term provides higher crop yields, reducing runoff to protect more diverse and sustainable food chains (e.g. fish) will improve long-term food security in vulnerable places",Reducing nutrient runoff from excessive fertiliser use will improve food stability by creating more diverse and sustainable food chains. ,
GE Land Conversion,LS Housing,Limiting land available for development may make construction of new (and/or affordable) housing difficult,Limiting land conversion may reduce the availability of land for  construction of new and affordable housing.,
GE Land Conversion,LE House Biodiversity,Reduced land conversion should lead to better protection and conservation of biodiverse habitats,Reduced land conversion will lead to better protection and conservation of biodiverse habitats.,
GE Land Conversion,GE Biodiversity Loss,Reduced land conversion should lead to better protection and conservation of biodiverse habitats,Reduced land conversion will lead to better protection and conservation of biodiverse habitats.,
GE Land Conversion,GS Health,"Deforestation and land use change are bad for health e.g. pathogens, so protecting land and preserving biodiversity will increase disease resilience","Deforestation and land conversion can lead to outbreaks of pathogens, so protecting land and preserving biodiversity will increase disease resilience.",
GE Land Conversion,GS Food,Preventing deforestation is good for protecting food security ,,leave out - not specific?
GE Chemical Pollution,LS Income and Work,"Likely will be winners and losers re. employment in a more circular economy. Could put some jobs and industries at risk e.g. fast fashion retail, but create jobs in recycling/waste management","Reducing chemical pollution may create jobs in industries such as recycling/waste management, but may put other industries at risk, e.g. fast fashion retail.",
GE Chemical Pollution,LS Social Equity,"Inequality needs to be specifically targeted by policy. Consumption must be reduced proportionally by the groups that currently consume the most, in order to address inequality. Currently poorest households have the smallest consumption footprint. ",,? Leave out - talks about consumption but not chemical pollution ?
GE Chemical Pollution,LS Community,"Sharing initiatives, mutual resources, collective libraries of things etc. can increase sense of solidarity between individuals, community, and their surrounding environment",,? Leave out: Not obvious link to chemical pollution
GE Chemical Pollution,GS Health,Reduced export of waste would reduce number of global citizens employed in dangerous/hazardous 'waste work' that poses risks to health,, ? Leave out - indirect link via work?
GE Chemical Pollution,GS Income and Work,"More circular practices could lead to reduced labour demand in supply chains that feed traditional linear economy models i.e. production of goods that are imported, consumed, discarded. Also those working in waste (1% of world's urban population toils in informal waste work). This could reduce work-related hazards but also threaten incomes for some.","More circular practices that reduce pollution could lead to reduced labour demand in supply chains that feed traditional linear economy models i.e. production of goods that are imported, consumed, discarded.",
GS Social Equity,GS Peace and Justice,Support peace and justice by not investing or profiting from harmful practices including those that fuel conflict or enable dictators/despots,Stopping investment in harmful practices and businesses that reduce social equity and fuel conflict can increase global peace and justice.,
